Character,Reading
㴒,yì
㴓,shāi
㴔,xī yì sè
㴗,yōu
㴘,mào
㴙,zhǎ zhá
㴛,zhì
㴧,xī
㴨,zhèn
㴩,yōng
㴪,niè
㴫,jùn yá
㴬,xiè
㴭,yǎo
㴯,zhī
㴰,néng
㴲,sī
㴵,mì
㴶,què hú
㴷,dān
㴸,shǎn
㴼,sù
㴽,xiè
㴿,dǐng
㵀,zú
㵂,shù
㵃,shé
㵄,hàn yù
㵅,tān tàn
㵆,gǎo
㵊,nà
㵌,xún
㵍,mèn
㵎,jiàn
㵏,cuǐ
㵐,jué
㵑,hè
㵒,fèi pài bì
㵔,chě
㵖,nǜ
㵗,píng
㵘,màn
㵝,yì
㵞,chóu
㵠,kū
㵡,báo
㵢,léi
㵣,kě
㵤,shà
㵧,gé yì
㵨,pì bó
㵩,yì
㵪,xián yàn yán
㵫,nì
㵬,yíng
㵮,chún
㵯,féng
㵰,xù
㵱,piǎo
㵳,liáo
㵴,cáng
㵵,zòu jù
㵶,zuō
㵷,biàn
㵹,huán mò
㵺,pài
㵻,xiū
㵽,lěi
㵾,qìng jìng
㵿,xiào
㶀,jiāo
㶁,guó huò
㶄,yán
㶆,zhū chú
㶇,héng
㶌,lián
㶍,xiǎn
㶏,yīn
㶒,shǎn shěn tàn
㶓,cáng
㶔,bèi
㶖,shù
㶗,fàn fán
㶘,diàn
㶛,yú
㶞,nǎng
㶟,lěi
㶠,yì
㶡,dài huǒ
㶣,chán yín
㶥,gān
㶦,jìn
㶧,nèn
㶬,mò
㶭,yǒu
㶯,liù
㶰,hán
㶲,yòng
㶴,chǐ
㶹,hòng
㶺,tiàn
㶼,āi xī
㶾,biāo
㶿,bó
㷂,shù
㷃,chuǐ
㷄,huǐ
㷆,fù
㷇,huī guài
㷈,è
㷋,tán
㷍,lún
㷏,yǒng
㷒,yú
㷕,qiú
㷘,tái
㷠,lín
㷡,jiǒng
㷣,xīng
㷤,hù xuè
㷫,qǐng
㷬,mò
㷮,zāo
㷯,bèng
㷰,chī lí
㷳,yàn
㷹,zhào shào
㷾,jué
㷿,xiān
㸅,jié jí
㸇,zuǎn
㸊,lài là
㸋,fán
㸌,huò
㸍,xì
